run_id,scenario,truth_label,truth_positive,predicted_label,predicted_positive,detected_level,detection_step,detection_delay,baseline_tokens,protected_tokens,baseline_tool_calls,protected_tool_calls,baseline_latency_ms,protected_latency_ms,baseline_cost_usd,protected_cost_usd,detector_overhead_ms,detector_cost_usd,baseline_success,protected_success
hallucination-004,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1708,1228,3,2,3172.5532028364223,1921.6842637438237,0.003885,0.0028905000000000003,1.2025000000000001,0.00018,0,1
near-004,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2787,806,6,2,5754.908074510594,2369.283578982639,0.006759,0.002019,1.066125,0.00018,0,1
semantic-004,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2748,1209,6,2,6400.891541247737,2696.042796675324,0.006228,0.0025065,2.983083,0.00018,0,1
healthy_polling-004,healthy_async_polling,healthy,False,healthy,False,0,,,2344,2344,5,5,5680.440686085702,5685.178144085701,0.005991000000000001,0.005991000000000001,4.737458,0.0,1,1
error-004,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2906,1194,6,2,7069.135221027429,2727.009966414298,0.0070365,0.0028845000000000003,1.509333,0.00018,0,1
error-005,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3340,1226,6,2,6812.206225414028,2282.4628018796907,0.0077145,0.0026985,1.4889999999999999,0.00018,0,1
near-005,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3004,982,6,2,5275.945266294304,2570.9439626734174,0.007179,0.0024360000000000002,1.066792,0.00018,0,1
hallucination-005,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1505,1097,3,2,2901.4647003768087,1961.966503617723,0.003594,0.0025095,1.1915,0.00018,0,1
healthy_polling-005,healthy_async_polling,healthy,False,healthy,False,0,,,2608,2608,5,5,5602.592149529258,5607.2159425292575,0.006261,0.006261,4.623793,0.0,1,1
exact-005,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2922,1111,6,2,5950.366247023023,2108.861556099641,0.006673500000000001,0.0025845000000000004,1.401041,0.00018,0,1
semantic-005,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2626,1055,6,2,4787.935353118831,2217.021836020189,0.006639,0.0022575,2.94525,0.00018,0,1
healthy_code-005,healthy_code_repair,healthy,False,healthy,False,0,,,2985,2985,6,6,6208.607238422627,6213.582197422627,0.006831,0.006831,4.974959,0.0,1,1
healthy_polling-006,healthy_async_polling,healthy,False,healthy,False,0,,,2448,2448,5,5,5026.057059057962,5030.695768057962,0.00585,0.00585,4.638709,0.0,1,1
healthy_code-006,healthy_code_repair,healthy,False,healthy,False,0,,,3017,3017,6,6,5480.684561531111,5485.6410615311115,0.007288500000000001,0.007288500000000001,4.9565,0.0,1,1
semantic-006,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2902,1009,6,2,5815.89646960356,2174.5618973364963,0.0070305,0.002382,2.997292,0.00018,0,1
near-006,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2811,1162,6,2,5409.199543781711,1717.3702082816885,0.007011,0.0029355,1.070125,0.00018,0,1
error-006,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3315,1266,6,2,6769.194710251761,2291.5143184586113,0.007614000000000001,0.0028755,1.508042,0.00018,0,1
hallucination-006,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1462,966,3,2,2516.8849956521663,1410.936154612274,0.0036735,0.0024345,1.2334580000000002,0.00018,0,1
exact-006,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2763,840,6,2,5125.543576125461,2133.2304688218715,0.0067545,0.0022185,1.443833,0.00018,0,1
semantic-007,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3036,1056,6,2,7157.442295077818,2312.7616456880805,0.0074655,0.002439,3.023542,0.00018,0,1
exact-007,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3325,1217,6,2,7054.219098167965,2882.3384284549393,0.007305000000000001,0.00255,1.456,0.00018,0,1
error-007,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3159,1262,6,2,6125.425519334199,2398.2535896261898,0.007551,0.002892,1.531833,0.00018,0,1
healthy_polling-007,healthy_async_polling,healthy,False,healthy,False,0,,,2583,2583,5,5,5541.37342797336,5546.1396779733595,0.0055980000000000005,0.0055980000000000005,4.766249999999999,0.0,1,1
near-007,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3074,1111,6,2,6389.554830439166,2592.858715371601,0.0070905000000000004,0.002445,1.0857510000000001,0.00018,0,1
hallucination-007,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1442,1061,3,2,2464.634667012654,2083.090774142846,0.0032250000000000004,0.0024375,1.227708,0.00018,0,1
healthy_code-007,healthy_code_repair,healthy,False,healthy,False,0,,,3190,3190,6,6,5245.7780049218045,5250.867795921805,0.0076245,0.0076245,5.089791,0.0,1,1
hallucination-008,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1559,1083,3,2,2879.2002741367996,2262.2456974516913,0.003621,0.002367,1.258875,0.00018,0,1
exact-008,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3224,1148,6,2,5887.056826204201,2575.685429696208,0.007131,0.0025185,1.410708,0.00018,0,1
near-008,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2670,997,6,2,6626.6346114575745,2478.6374676373594,0.006678,0.0025125000000000004,1.056916,0.00018,0,1
healthy_polling-008,healthy_async_polling,healthy,False,healthy,False,0,,,2423,2423,5,5,5130.05879345749,5134.746042457489,0.0058665,0.0058665,4.687249,0.0,1,1
semantic-008,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2819,1190,6,2,7085.116618813868,2352.8761787998587,0.0064470000000000005,0.0025545,3.0277909999999997,0.00018,0,1
healthy_code-008,healthy_code_repair,healthy,False,healthy,False,0,,,3160,3160,6,6,6355.462692123205,6360.507026123205,0.007458,0.007458,5.044334,0.0,1,1
error-008,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2928,953,6,2,5323.232485632875,1613.1009766072457,0.0069885,0.0022215,1.5332919999999999,0.00018,0,1
semantic-009,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3074,1102,6,2,6332.548375708777,1727.7471959201537,0.006883500000000001,0.0025215,3.001125,0.00018,0,1
exact-009,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2537,876,6,2,7074.654422889115,2685.048893100767,0.0061095,0.001953,1.440291,0.00018,0,1
near-009,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2712,913,6,2,4706.536488369858,2338.2750234982354,0.0065475,0.0020445,1.0910410000000001,0.00018,0,1
healthy_code-009,healthy_code_repair,healthy,False,healthy,False,0,,,2896,2896,6,6,6142.319178924336,6147.355638924336,0.0072510000000000005,0.0072510000000000005,5.03646,0.0,1,1
hallucination-009,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1383,1109,3,2,2449.8278492307945,1855.280344641898,0.0033255000000000003,0.0026400000000000004,1.217375,0.00018,0,1
error-009,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3005,1142,6,2,6658.279278662864,2616.6923542223417,0.00732,0.0027300000000000002,1.526042,0.00018,0,1
healthy_polling-009,healthy_async_polling,healthy,False,healthy,False,0,,,2427,2427,5,5,4757.086157385212,4761.798449385212,0.0055845,0.0055845,4.712292,0.0,1,1
error-010,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3309,1125,6,2,5772.707725853152,2504.1759591572786,0.0073124999999999996,0.002322,1.5132089999999998,0.00018,0,1
exact-010,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2935,1225,6,2,6121.622034664165,2338.0792567018066,0.00717,0.0030255,1.422959,0.00018,0,1
hallucination-010,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1342,959,3,2,2776.271586226975,2047.0380760259868,0.003057,0.002064,1.210709,0.00018,0,1
near-010,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2927,1152,6,2,5183.144157646234,2119.7191931543493,0.0068520000000000005,0.002682,1.081709,0.00018,0,1
semantic-010,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2716,1042,6,2,5189.838863059231,2075.4224316887908,0.006378,0.0026385,3.0342919999999998,0.00018,0,1
healthy_polling-010,healthy_async_polling,healthy,False,healthy,False,0,,,2739,2739,5,5,4579.535670015534,4584.260796015535,0.006507000000000001,0.006507000000000001,4.7251259999999995,0.0,1,1
healthy_code-010,healthy_code_repair,healthy,False,healthy,False,0,,,2885,2885,6,6,6062.482117155081,6067.507534155081,0.006784500000000001,0.006784500000000001,5.025417,0.0,1,1
healthy_code-011,healthy_code_repair,healthy,False,healthy,False,0,,,2640,2640,6,6,5181.709513217185,5186.7033052171855,0.0064125,0.0064125,4.993792,0.0,1,1
semantic-011,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3414,1332,6,2,5768.740483654026,2522.6286030042534,0.008037,0.0031275,3.011583,0.00018,0,1
near-011,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3001,1237,6,2,5726.607034988691,1327.5234864724289,0.0074625,0.002814,1.188917,0.00018,0,1
healthy_polling-011,healthy_async_polling,healthy,False,healthy,False,0,,,2651,2651,5,5,5431.896917066519,5436.667334066518,0.0056775,0.0056775,4.770417,0.0,1,1
exact-011,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2989,1040,6,2,4512.3731447072705,1948.353590794242,0.007125,0.0025275,1.445708,0.00018,0,1
hallucination-011,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1359,1052,3,2,2921.701383288839,2063.12915010415,0.0032265,0.002388,1.225292,0.00018,0,1
error-011,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2743,1005,6,2,5667.1280400109845,2317.645336368303,0.0065085,0.0023625,1.542792,0.00018,0,1
error-012,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2858,969,6,2,6301.479352575953,2345.040382585835,0.007036499999999999,0.0024389999999999998,1.54,0.00018,0,1
near-012,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3199,1268,6,2,5977.62873649414,2278.757610486566,0.007413,0.0028155,1.087666,0.00018,0,1
semantic-012,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2725,993,6,2,6420.746065649684,2724.3257018901168,0.0069134999999999995,0.0023715,3.042625,0.00018,0,1
healthy_code-012,healthy_code_repair,healthy,False,healthy,False,0,,,2983,2983,6,6,5521.042538440618,5526.137914440618,0.0070575,0.0070575,5.095376,0.0,1,1
hallucination-012,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1316,861,3,2,2809.902109580888,1749.2886032299693,0.0029100000000000003,0.001962,1.227042,0.00018,0,1
exact-012,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3016,1054,6,2,5028.17379943322,1928.982238918228,0.0072285000000000005,0.0025305,1.438167,0.00018,0,1
healthy_polling-012,healthy_async_polling,healthy,False,healthy,False,0,,,2596,2596,5,5,5240.374950852526,5245.1278668525265,0.0061755,0.0061755,4.752916,0.0,1,1
error-013,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3088,1110,6,2,5556.234220851899,1359.1726698892548,0.006981,0.0026415,1.533083,0.00018,0,1
near-013,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2853,967,6,2,5870.449002381059,2524.1800466315217,0.006795,0.0022785,1.08825,0.00018,0,1
hallucination-013,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1631,1152,3,2,2766.978008250351,2180.154302154321,0.00399,0.0027719999999999997,1.226541,0.00018,0,1
healthy_code-013,healthy_code_repair,healthy,False,healthy,False,0,,,2874,2874,6,6,4867.143630259159,4872.201880259159,0.006921,0.006921,5.058249999999999,0.0,1,1
exact-013,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3026,1125,6,2,5182.217207413606,2219.5082143679238,0.0068520000000000005,0.00261,1.439875,0.00018,0,1
healthy_polling-013,healthy_async_polling,healthy,False,healthy,False,0,,,2467,2467,5,5,4402.388493242767,4407.128451242767,0.006189,0.006189,4.739958,0.0,1,1
semantic-013,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2909,1025,6,2,5253.52195196146,1796.6498588448421,0.006897,0.0025005,3.02125,0.00018,0,1
error-014,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2860,1028,6,2,6585.945132133438,2356.6176847388074,0.0070845000000000005,0.002379,1.492375,0.00018,0,1
near-014,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3028,1104,6,2,5578.230635772708,1973.39424333555,0.007017000000000001,0.002673,1.0659990000000001,0.00018,0,1
hallucination-014,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1323,939,3,2,3073.6235732392943,1853.6781310063218,0.003087,0.0021105,1.2138749999999998,0.00018,0,1
exact-014,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2679,1031,6,2,5223.66379247161,2035.7594835004486,0.006372,0.0022035,1.4257499999999999,0.00018,0,1
healthy_code-014,healthy_code_repair,healthy,False,healthy,False,0,,,3187,3187,6,6,5993.286354783187,5998.300937783187,0.0076335,0.0076335,5.014583,0.0,1,1
semantic-014,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2819,1139,6,2,6139.892489552369,2213.911649068181,0.0069015000000000005,0.002694,2.989125,0.00018,0,1
healthy_polling-014,healthy_async_polling,healthy,False,healthy,False,0,,,2559,2559,5,5,5048.158098832312,5052.884889832312,0.006066,0.006066,4.7267909999999995,0.0,1,1
healthy_code-015,healthy_code_repair,healthy,False,healthy,False,0,,,2829,2829,6,6,5630.781011799989,5635.846387799988,0.006516,0.006516,5.0653760000000005,0.0,1,1
healthy_polling-015,healthy_async_polling,healthy,False,healthy,False,0,,,2352,2352,5,5,5862.307139881891,5866.9822238818915,0.005832,0.005832,4.675084,0.0,1,1
near-015,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2957,1062,6,2,6545.7624758334905,2654.595085849048,0.0071985,0.002565,1.082374,0.00018,0,1
hallucination-015,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1684,1131,3,2,2693.832463638511,1899.4880362168901,0.004002,0.002664,1.2129590000000001,0.00018,0,1
exact-015,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2985,1163,6,2,6360.465766287202,2606.7056109166615,0.007425,0.0027435,1.419251,0.00018,0,1
error-015,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2927,1060,6,2,5698.141280176241,2518.1532281547397,0.0065865,0.002229,1.517875,0.00018,0,1
semantic-015,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3142,1208,6,2,5919.813557794839,1875.7461918689282,0.007899,0.0029730000000000004,3.003083,0.00018,0,1
exact-016,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2920,1119,6,2,5416.279430183704,1659.16924633864,0.0071655,0.002655,1.439376,0.00018,0,1
error-016,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2800,1012,6,2,5108.009268299523,2441.538700607023,0.0065985,0.0024360000000000002,1.519749,0.00018,0,1
hallucination-016,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1569,1156,3,2,3037.627552716128,2433.4089093052753,0.003789,0.0027825,1.217624,0.00018,0,1
healthy_polling-016,healthy_async_polling,healthy,False,healthy,False,0,,,2203,2203,5,5,5382.888913047659,5387.576663047659,0.005298000000000001,0.005298000000000001,4.687749999999999,0.0,1,1
healthy_code-016,healthy_code_repair,healthy,False,healthy,False,0,,,3045,3045,6,6,5183.476926120148,5188.409968120148,0.006822,0.006822,4.9330419999999995,0.0,1,1
semantic-016,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2654,890,6,2,6211.783188372422,2526.566987602091,0.006307500000000001,0.0021675,2.965375,0.00018,0,1
near-016,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3011,1103,6,2,6382.155501702071,2463.7488111028906,0.00696,0.002622,1.066626,0.00018,0,1
error-017,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3150,1227,6,2,6843.021565910987,2297.425208652482,0.0073215,0.0027045000000000003,1.490167,0.00018,0,1
hallucination-017,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1389,1067,3,2,3168.5218303135016,2524.5745112132495,0.0030645,0.0022845,1.2020840000000002,0.00018,0,1
exact-017,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3405,1221,6,2,6966.72308404093,2690.0428353768666,0.007317000000000001,0.0024840000000000005,1.401167,0.00018,0,1
near-017,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2989,1165,6,2,6658.953775656463,1940.3289787317485,0.0068415,0.0028185000000000003,1.053583,0.00018,0,1
healthy_polling-017,healthy_async_polling,healthy,False,healthy,False,0,,,2562,2562,5,5,4415.387851088409,4420.0756430884085,0.006052500000000001,0.006052500000000001,4.687792,0.0,1,1
semantic-017,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3001,1216,6,2,6167.994747183381,2202.0391070036353,0.0072239999999999995,0.0029355,2.9571240000000003,0.00018,0,1
healthy_code-017,healthy_code_repair,healthy,False,healthy,False,0,,,2666,2666,6,6,5138.527880398629,5143.505422398629,0.0065145,0.0065145,4.977542000000001,0.0,1,1
error-018,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3172,1047,6,2,5352.923305231514,1483.781476124099,0.00762,0.002565,1.521125,0.00018,0,1
near-018,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3161,1207,6,2,6474.694268363026,2712.571704433294,0.0073245,0.0025889999999999997,1.077667,0.00018,0,1
exact-018,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2781,1099,6,2,5984.767695704341,2577.2422839983474,0.0062640000000000005,0.002283,1.430958,0.00018,0,1
healthy_polling-018,healthy_async_polling,healthy,False,healthy,False,0,,,2306,2306,5,5,5770.324328936591,5775.072036936591,0.005655,0.005655,4.747708,0.0,1,1
semantic-018,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3290,1313,6,2,4957.066187880381,2165.0243113305614,0.0074235,0.002955,2.9912919999999996,0.00018,0,1
hallucination-018,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1649,1112,3,2,3210.5939056673883,2443.3176871105575,0.0039225,0.0026355000000000003,1.29475,0.00018,0,1
healthy_code-018,healthy_code_repair,healthy,False,healthy,False,0,,,2859,2859,6,6,6286.403363572667,6291.418029572667,0.006412500000000001,0.006412500000000001,5.014666000000001,0.0,1,1
semantic-019,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3048,1240,6,2,5053.477810189303,1253.1962354588202,0.007335,0.0026835,3.010375,0.00018,0,1
healthy_polling-019,healthy_async_polling,healthy,False,healthy,False,0,,,2514,2514,5,5,5583.383857104796,5588.131275104796,0.0062235,0.0062235,4.747418000000001,0.0,1,1
healthy_code-019,healthy_code_repair,healthy,False,healthy,False,0,,,2667,2667,6,6,6924.498245269004,6929.763871269004,0.006633,0.006633,5.265626,0.0,1,1
error-019,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2708,1141,6,2,7459.619076974257,2103.006109682685,0.006312,0.002526,1.519625,0.00018,0,1
hallucination-019,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1467,1161,3,2,2858.7272285214863,2054.2049604984018,0.0033885,0.002682,1.215084,0.00018,0,1
near-019,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3136,1030,6,2,5518.791177311636,1628.7780784648326,0.007116,0.0021525000000000003,1.179042,0.00018,0,1
exact-019,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2757,1106,6,2,5278.797699641663,2602.8082472361602,0.00648,0.0023834999999999998,1.501626,0.00018,0,1
healthy_polling-020,healthy_async_polling,healthy,False,healthy,False,0,,,2822,2822,5,5,3962.9855735990695,3967.6658655990695,0.0066045,0.0066045,4.680292000000001,0.0,1,1
hallucination-020,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1545,1132,3,2,2632.353734698341,1834.9666764423116,0.0036360000000000003,0.002661,1.218208,0.00018,0,1
error-020,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2800,1026,6,2,5651.651196546032,2076.103094372906,0.0067785,0.0023445,1.519042,0.00018,0,1
healthy_code-020,healthy_code_repair,healthy,False,healthy,False,0,,,3200,3200,6,6,5373.294338012793,5378.258672012793,0.007846500000000001,0.007846500000000001,4.964334,0.0,1,1
near-020,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,3109,1181,6,2,5608.484259919688,1587.6505201708808,0.007377,0.0027345000000000004,1.055708,0.00018,0,1
exact-020,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3204,1177,6,2,6017.962291981222,1585.8385510935118,0.0077805,0.0027240000000000003,1.408,0.00018,0,1
