run_id,scenario,step_index,agent_id,question,subgoal,action,tool_name,tool_args,observation,response,evidence,progress,prompt_tokens,completion_tokens,latency_ms,cost_usd,ground_truth_labels,anomaly_onset_step
healthy_code-000,healthy_code_repair,2,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 4 remain,run_tests,"{'suite': 'unit', 'iteration': 2}",Test run completed: 4 failures remain,Progress made; 4 tests still fail.,,0.5,499,122,753.8151315830862,0.0014805,[],
healthy_code-000,healthy_code_repair,3,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 2 remain,run_tests,"{'suite': 'unit', 'iteration': 3}",Test run completed: 2 failures remain,Progress made; 2 tests still fail.,,0.75,265,69,1153.9906431947145,0.0008115,[],
healthy_code-000,healthy_code_repair,4,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 1 remain,run_tests,"{'suite': 'unit', 'iteration': 4}",Test run completed: 1 failures remain,Progress made; 1 tests still fail.,,0.875,396,98,623.743521444165,0.0011819999999999999,[],
healthy_code-000,healthy_code_repair,5,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 0 remain,run_tests,"{'suite': 'unit', 'iteration': 5}",Test run completed: 0 failures remain,Progress made; 0 tests still fail.,,1.0,482,75,941.9630468861619,0.001173,[],
error-001,repeated_error_loop,0,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Fetch the transcript directly,fetch_transcript,"{'video_id': 'V-42', 'attempt': 0}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,412,119,1086.3422966375,0.001332,['repeated_error_response'],1.0
error-001,repeated_error_loop,1,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Retry the transcript endpoint with a longer timeout,fetch_transcript,"{'video_id': 'V-42', 'attempt': 1}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,338,102,1229.1350440698907,0.001119,['repeated_error_response'],1.0
error-001,repeated_error_loop,2,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Request transcript metadata first,metadata_api,"{'video_id': 'V-42', 'attempt': 2}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,260,131,821.465133014346,0.001176,['repeated_error_response'],1.0
error-001,repeated_error_loop,3,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Use the archived transcript endpoint,archive_api,"{'video_id': 'V-42', 'attempt': 3}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,269,69,1384.0617131260938,0.0008175000000000001,['repeated_error_response'],1.0
error-001,repeated_error_loop,4,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Ask the transcript proxy service,proxy_api,"{'video_id': 'V-42', 'attempt': 4}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,417,85,573.8704048395945,0.0011355,['repeated_error_response'],1.0
error-001,repeated_error_loop,5,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Retry through the backup route,backup_api,"{'video_id': 'V-42', 'attempt': 5}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,300,65,1200.674063205504,0.00084,['repeated_error_response'],1.0
exact-001,exact_loop,0,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,295,123,1232.2260192554986,0.0011805000000000001,['repeated_action'],1.0
exact-001,exact_loop,1,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,325,115,1400.5692721256414,0.0011775,['repeated_action'],1.0
exact-001,exact_loop,2,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,344,88,1010.7366222989763,0.001044,['repeated_action'],1.0
exact-001,exact_loop,3,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,476,82,1383.8895484920245,0.001206,['repeated_action'],1.0
exact-001,exact_loop,4,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,362,94,891.0628389976091,0.001107,['repeated_action'],1.0
exact-001,exact_loop,5,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,451,111,1356.6410987179393,0.0013425,['repeated_action'],1.0
hallucination-001,hallucination,0,research-agent,What is the capital of France?,Answer using retrieved evidence,Retrieve evidence for the capital of France,knowledge_lookup,{'country': 'France'},Evidence: The capital of France is Paris.,I found a reference answer.,The capital of France is Paris.,0.6,491,70,750.5522207093874,0.0011565,[],
hallucination-001,hallucination,1,research-agent,What is the capital of France?,Answer using retrieved evidence,Synthesize the factual answer,answer_generator,{'use_evidence': True},Evidence remains: The capital of France is Paris.,The capital of France is Berlin.,The capital of France is Paris.,0.6,292,98,539.5618618065647,0.001026,['hallucination'],1.0
hallucination-001,hallucination,2,research-agent,What is the capital of France?,Answer using retrieved evidence,Return the final answer,finalizer,{},No additional evidence was collected,Berlin is the capital of France.,The capital of France is Paris.,0.6,377,130,724.8021675399503,0.0013455,['hallucination'],1.0
near-001,near_duplicate_loop,0,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME Q4 earnings,news_search,{'query': 'ACME Q4 earnings'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,296,135,574.7526031949808,0.0012540000000000001,['redundant_search_loop'],1.0
near-001,near_duplicate_loop,1,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME fourth quarter earnings,news_search,{'query': 'ACME fourth quarter earnings'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,294,59,1319.4609222359843,0.0007949999999999999,['redundant_search_loop'],1.0
near-001,near_duplicate_loop,2,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME Q4 financial results,news_search,{'query': 'ACME Q4 financial results'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,296,120,741.3443099631655,0.001164,['redundant_search_loop'],1.0
near-001,near_duplicate_loop,3,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: latest ACME fourth-quarter earnings,news_search,{'query': 'latest ACME fourth-quarter earnings'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,508,82,1021.4875561971219,0.001254,['redundant_search_loop'],1.0
near-001,near_duplicate_loop,4,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME earnings report for Q4,news_search,{'query': 'ACME earnings report for Q4'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,502,86,1249.6960645904005,0.001269,['redundant_search_loop'],1.0
near-001,near_duplicate_loop,5,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: Q4 results released by ACME,news_search,{'query': 'Q4 results released by ACME'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,468,79,607.7229907374505,0.001176,['redundant_search_loop'],1.0
semantic-001,semantic_plan_loop,0,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Create a welcome email, guide the user through a product tour, then send a survey",planner,{'plan_version': 0},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,480,100,913.9281194085263,0.00132,['semantic_repeat'],1.0
semantic-001,semantic_plan_loop,1,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Start with an introductory message, provide an in-app walkthrough, and request feedback afterward",planner,{'plan_version': 1},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,499,61,1146.2290289827704,0.0011145,['semantic_repeat'],1.0
semantic-001,semantic_plan_loop,2,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Greet the customer, demonstrate the main product features, and collect opinions in a questionnaire",planner,{'plan_version': 2},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,310,62,894.4377923551099,0.0008370000000000001,['semantic_repeat'],1.0
semantic-001,semantic_plan_loop,3,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Send an onboarding note, show a guided feature demonstration, and finish with a feedback form",planner,{'plan_version': 3},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,433,68,751.2503905458657,0.0010575,['semantic_repeat'],1.0
semantic-001,semantic_plan_loop,4,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Introduce the service by email, lead a product walkthrough, and ask the new user for feedback",planner,{'plan_version': 4},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,357,123,937.2105994848127,0.0012735000000000001,['semantic_repeat'],1.0
semantic-001,semantic_plan_loop,5,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Welcome the account owner, explain the product interactively, and follow up with a satisfaction survey",planner,{'plan_version': 5},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,476,78,779.0469845402547,0.0011819999999999999,['semantic_repeat'],1.0
healthy_polling-001,healthy_async_polling,0,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 0}",Job status: queued,The export job is queued.,,0.0,387,64,932.111592899715,0.0009645,[],
healthy_polling-001,healthy_async_polling,1,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 1}",Job status: running 20%,The export job is running 20%.,,0.25,310,61,1126.4947514186256,0.000831,[],
healthy_polling-001,healthy_async_polling,2,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 2}",Job status: running 55%,The export job is running 55%.,,0.5,267,66,1381.5212941975587,0.0007965000000000001,[],
healthy_polling-001,healthy_async_polling,3,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 3}",Job status: running 90%,The export job is running 90%.,,0.75,381,76,897.9650738957989,0.0010275000000000002,[],
healthy_polling-001,healthy_async_polling,4,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 4}",Job status: completed,The export job is completed.,,1.0,506,82,1324.1248664481004,0.001251,[],
healthy_code-001,healthy_code_repair,0,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 8 remain,run_tests,"{'suite': 'unit', 'iteration': 0}",Test run completed: 8 failures remain,Progress made; 8 tests still fail.,,0.0,290,76,872.445000648532,0.0008910000000000001,[],
healthy_code-001,healthy_code_repair,1,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 6 remain,run_tests,"{'suite': 'unit', 'iteration': 1}",Test run completed: 6 failures remain,Progress made; 6 tests still fail.,,0.25,459,88,1381.6618084101801,0.0012165000000000001,[],
healthy_code-001,healthy_code_repair,2,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 4 remain,run_tests,"{'suite': 'unit', 'iteration': 2}",Test run completed: 4 failures remain,Progress made; 4 tests still fail.,,0.5,492,91,913.3969619708515,0.001284,[],
healthy_code-001,healthy_code_repair,3,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 2 remain,run_tests,"{'suite': 'unit', 'iteration': 3}",Test run completed: 2 failures remain,Progress made; 2 tests still fail.,,0.75,509,74,696.6050165589025,0.0012075,[],
healthy_code-001,healthy_code_repair,4,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 1 remain,run_tests,"{'suite': 'unit', 'iteration': 4}",Test run completed: 1 failures remain,Progress made; 1 tests still fail.,,0.875,371,62,1058.6376704591182,0.0009285000000000001,[],
healthy_code-001,healthy_code_repair,5,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 0 remain,run_tests,"{'suite': 'unit', 'iteration': 5}",Test run completed: 0 failures remain,Progress made; 0 tests still fail.,,1.0,291,95,573.1637038039593,0.0010065,[],
healthy_code-002,healthy_code_repair,0,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 8 remain,run_tests,"{'suite': 'unit', 'iteration': 0}",Test run completed: 8 failures remain,Progress made; 8 tests still fail.,,0.0,355,63,1073.3826489985258,0.0009105000000000001,[],
healthy_code-002,healthy_code_repair,1,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 6 remain,run_tests,"{'suite': 'unit', 'iteration': 1}",Test run completed: 6 failures remain,Progress made; 6 tests still fail.,,0.25,380,106,631.4945509708255,0.001206,[],
healthy_code-002,healthy_code_repair,2,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 4 remain,run_tests,"{'suite': 'unit', 'iteration': 2}",Test run completed: 4 failures remain,Progress made; 4 tests still fail.,,0.5,386,129,1072.9028127861002,0.001353,[],
healthy_code-002,healthy_code_repair,3,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 2 remain,run_tests,"{'suite': 'unit', 'iteration': 3}",Test run completed: 2 failures remain,Progress made; 2 tests still fail.,,0.75,301,108,1131.357042959446,0.0010995,[],
healthy_code-002,healthy_code_repair,4,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 1 remain,run_tests,"{'suite': 'unit', 'iteration': 4}",Test run completed: 1 failures remain,Progress made; 1 tests still fail.,,0.875,421,88,709.9610554638889,0.0011595,[],
healthy_code-002,healthy_code_repair,5,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 0 remain,run_tests,"{'suite': 'unit', 'iteration': 5}",Test run completed: 0 failures remain,Progress made; 0 tests still fail.,,1.0,420,85,767.021496654159,0.00114,[],
semantic-002,semantic_plan_loop,0,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Create a welcome email, guide the user through a product tour, then send a survey",planner,{'plan_version': 0},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,327,93,945.2188524905204,0.0010485,['semantic_repeat'],1.0
semantic-002,semantic_plan_loop,1,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Start with an introductory message, provide an in-app walkthrough, and request feedback afterward",planner,{'plan_version': 1},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,297,56,946.2055360352851,0.0007815000000000001,['semantic_repeat'],1.0
semantic-002,semantic_plan_loop,2,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Greet the customer, demonstrate the main product features, and collect opinions in a questionnaire",planner,{'plan_version': 2},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,311,64,1019.9999958145133,0.0008505,['semantic_repeat'],1.0
semantic-002,semantic_plan_loop,3,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Send an onboarding note, show a guided feature demonstration, and finish with a feedback form",planner,{'plan_version': 3},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,519,88,643.1846104408146,0.0013065,['semantic_repeat'],1.0
semantic-002,semantic_plan_loop,4,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Introduce the service by email, lead a product walkthrough, and ask the new user for feedback",planner,{'plan_version': 4},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,438,63,1337.7213255106249,0.0010350000000000001,['semantic_repeat'],1.0
semantic-002,semantic_plan_loop,5,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Welcome the account owner, explain the product interactively, and follow up with a satisfaction survey",planner,{'plan_version': 5},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,449,91,666.7045540922257,0.0012195,['semantic_repeat'],1.0
exact-002,exact_loop,0,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,414,133,1434.9835785338785,0.0014190000000000001,['repeated_action'],1.0
exact-002,exact_loop,1,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,264,125,798.4222395459794,0.001146,['repeated_action'],1.0
